Fecha,Hora,Competicion,Local,Goles_local,Visitante,Goles_visitante,Estadio,Ciudad,En_casa,Total_goles_partido
DOM 28.09.2025,18:30,LALIGA HYPERMOTION,Real Valladolid,0,Cultural Leonesa,1,"('José Zorrilla', 27618)",Valladolid,False,1
SAB 20.09.2025,16:15,LALIGA HYPERMOTION,Cultural Leonesa,1,CD Castellón,3,"('Reino de León', 13346)",León,True,4
DOM 14.09.2025,16:15,LALIGA HYPERMOTION,Racing de Santander,2,Cultural Leonesa,4,"('El Sardinero', 21514)",Santander,False,6
DOM 07.09.2025,18:30,LALIGA HYPERMOTION,Cultural Leonesa,0,CD Leganés,0,"('Reino de León', 13346)",León,True,0
VIE 29.08.2025,21:30,LALIGA HYPERMOTION,Real Sporting,1,Cultural Leonesa,0,"('El Molinón', 30000)",Gijón,False,1
DOM 24.08.2025,19:30,LALIGA HYPERMOTION,Cultural Leonesa,0,UD Almería,1,"('Reino de León', 13346)",León,True,1
VIE 15.08.2025,21:30,LALIGA HYPERMOTION,Burgos CF,5,Cultural Leonesa,1,"('El Plantío', 12194)",Burgos,False,6
DOM 25.01.2026,14:00,LALIGA HYPERMOTION,FC Andorra,1,SD Huesca,1,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,True,2
DOM 18.01.2026,14:00,LALIGA HYPERMOTION,CD Mirandés,1,FC Andorra,2,"('Anduva', 5759)",Miranda de Ebro,False,3
SAB 10.01.2026,18:30,LALIGA HYPERMOTION,FC Andorra,1,Cultural Leonesa,1,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,True,2
DOM 04.01.2026,16:15,LALIGA HYPERMOTION,AD Ceuta FC,2,FC Andorra,1,"('Alfonso Murube', 6500)",Ceuta,False,3
SAB 20.12.2025,14:00,LALIGA HYPERMOTION,FC Andorra,1,RC Deportivo,0,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,True,1
SAB 13.12.2025,16:15,LALIGA HYPERMOTION,Real Valladolid,0,FC Andorra,1,"('José Zorrilla', 27618)",Valladolid,False,1
SAB 06.12.2025,14:00,LALIGA HYPERMOTION,FC Andorra,1,UD Almería,2,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,True,3
VIE 28.11.2025,20:30,LALIGA HYPERMOTION,Real Sporting,1,FC Andorra,1,"('El Molinón', 30000)",Gijón,False,2
SAB 22.11.2025,16:15,LALIGA HYPERMOTION,FC Andorra,1,CD Castellón,3,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,True,4
SAB 15.11.2025,16:00,LALIGA HYPERMOTION,Albacete BP,1,FC Andorra,0,"('Carlos Belmonte', 18000)",Albacete,False,1
SAB 08.11.2025,16:15,LALIGA HYPERMOTION,SD Huesca,2,FC Andorra,2,"('El Alcoraz', 9128)",Huesca,False,4
DOM 02.11.2025,14:00,LALIGA HYPERMOTION,FC Andorra,0,Cádiz CF,0,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,True,0
DOM 26.10.2025,14:00,LALIGA HYPERMOTION,Málaga CF,4,FC Andorra,1,"('La Rosaleda', 30044)",Málaga,False,5
VIE 17.10.2025,20:30,LALIGA HYPERMOTION,FC Andorra,0,Granada CF,0,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,True,0
SAB 11.10.2025,18:30,LALIGA HYPERMOTION,Real Sociedad B,3,FC Andorra,0,"('Estadio Zubieta', 2500)",San Sebastián,False,3
SAB 04.10.2025,18:30,LALIGA HYPERMOTION,FC Andorra,1,CD Leganés,2,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,True,3
SAB 27.09.2025,18:30,LALIGA HYPERMOTION,Racing de Santander,1,FC Andorra,2,"('El Sardinero', 21514)",Santander,False,3
SAB 20.09.2025,18:30,LALIGA HYPERMOTION,FC Andorra,1,CD Mirandés,1,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,True,2
DOM 14.09.2025,14:00,LALIGA HYPERMOTION,FC Andorra,3,Córdoba CF,1,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,True,4
LUN 08.09.2025,20:30,LALIGA HYPERMOTION,SD Eibar,2,FC Andorra,0,"('Ipurúa', 8164)",Éibar,False,2
DOM 31.08.2025,17:00,LALIGA HYPERMOTION,FC Andorra,2,Burgos CF,1,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,True,3
SAB 23.08.2025,21:30,LALIGA HYPERMOTION,Real Zaragoza,1,FC Andorra,3,"('Ibercaja Estadio', 20103)",Zaragoza,False,4
DOM 17.08.2025,21:30,LALIGA HYPERMOTION,UD Las Palmas,1,FC Andorra,1,"('Estadio de Gran Canaria', 32400)",Las Palmas de Gran Canaria,False,2
SAB 24.01.2026,21:00,LALIGA HYPERMOTION,Cádiz CF,1,Granada CF,2,"('Nuevo Mirandilla', 20724)",Cádiz,False,3
LUN 19.01.2026,20:30,LALIGA HYPERMOTION,Granada CF,0,SD Eibar,0,"('Nuevo Los Cármenes', 19336)",Granada,True,0
DOM 11.01.2026,16:15,LALIGA HYPERMOTION,Granada CF,0,CD Castellón,0,"('Nuevo Los Cármenes', 19336)",Granada,True,0
SAB 03.01.2026,16:15,LALIGA HYPERMOTION,UD Almería,3,Granada CF,2,"('UD Almería Stadium', 18331)",Almería,False,5
DOM 21.12.2025,18:30,LALIGA HYPERMOTION,Granada CF,1,Albacete BP,1,"('Nuevo Los Cármenes', 19336)",Granada,True,2
SAB 13.12.2025,16:15,LALIGA HYPERMOTION,Real Sporting,1,Granada CF,0,"('El Molinón', 30000)",Gijón,False,1
DOM 07.12.2025,21:00,LALIGA HYPERMOTION,Granada CF,1,AD Ceuta FC,1,"('Nuevo Los Cármenes', 19336)",Granada,True,2
SAB 29.11.2025,16:15,LALIGA HYPERMOTION,Cultural Leonesa,0,Granada CF,1,"('Reino de León', 13346)",León,False,1
SAB 22.11.2025,21:00,LALIGA HYPERMOTION,Granada CF,1,Córdoba CF,1,"('Nuevo Los Cármenes', 19336)",Granada,True,2
SAB 15.11.2025,21:00,LALIGA HYPERMOTION,Racing de Santander,2,Granada CF,2,"('El Sardinero', 21514)",Santander,False,4
DOM 09.11.2025,18:30,LALIGA HYPERMOTION,Granada CF,3,Real Zaragoza,1,"('Nuevo Los Cármenes', 19336)",Granada,True,4
LUN 03.11.2025,20:30,LALIGA HYPERMOTION,Real Valladolid,2,Granada CF,1,"('José Zorrilla', 27618)",Valladolid,False,3
SAB 25.10.2025,18:30,LALIGA HYPERMOTION,Granada CF,0,Cádiz CF,0,"('Nuevo Los Cármenes', 19336)",Granada,True,0
VIE 17.10.2025,20:30,LALIGA HYPERMOTION,FC Andorra,0,Granada CF,0,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,False,0
VIE 10.10.2025,20:30,LALIGA HYPERMOTION,Granada CF,0,UD Las Palmas,0,"('Nuevo Los Cármenes', 19336)",Granada,True,0
SAB 04.10.2025,21:00,LALIGA HYPERMOTION,Granada CF,5,Real Sociedad B,2,"('Nuevo Los Cármenes', 19336)",Granada,True,7
DOM 28.09.2025,21:00,LALIGA HYPERMOTION,SD Huesca,0,Granada CF,1,"('El Alcoraz', 9128)",Huesca,False,1
LUN 22.09.2025,20:30,LALIGA HYPERMOTION,Burgos CF,1,Granada CF,1,"('El Plantío', 12194)",Burgos,False,2
DOM 14.09.2025,21:00,LALIGA HYPERMOTION,Granada CF,0,CD Leganés,2,"('Nuevo Los Cármenes', 19336)",Granada,True,2
SAB 06.09.2025,21:00,LALIGA HYPERMOTION,Málaga CF,2,Granada CF,2,"('La Rosaleda', 30044)",Málaga,False,4
DOM 31.08.2025,21:30,LALIGA HYPERMOTION,Granada CF,1,CD Mirandés,2,"('Nuevo Los Cármenes', 19336)",Granada,True,3
VIE 22.08.2025,19:30,LALIGA HYPERMOTION,SD Eibar,3,Granada CF,0,"('Ipurúa', 8164)",Éibar,False,3
SAB 16.08.2025,21:30,LALIGA HYPERMOTION,Granada CF,1,RC Deportivo,3,"('Nuevo Los Cármenes', 19336)",Granada,True,4
