Equipo,Posicion,Puntos,Partidos_jugados,Partidos_ganados,Partidos_empatados,Partidos_perdidos,Goles_favor,Goles_contra,Diferencia_goles,Valor_Mercado,Lesionados,Estadio,Capacidad,Ciudad,Valor_Por_Punto,Goles_Por_Partido
Racing de Santander,1º,44,23,13,5,5,50,32,18,47730000,0,El Sardinero,21514,Santander,1084772.7272727273,2.1739130434782608
CD Castellón,2º,39,23,11,6,6,36,25,11,17200000,0,Skyfi Castalia,15500,Castellón de la Plana,441025.641025641,1.565217391304348
Málaga CF,3º,38,23,11,5,7,35,26,9,17600000,0,La Rosaleda,30044,Málaga,463157.8947368421,1.5217391304347827
UD Las Palmas,4º,38,23,10,8,5,28,19,9,44400000,0,Estadio de Gran Canaria,32400,Las Palmas de Gran Canaria,1168421.0526315789,1.2173913043478262
RC Deportivo,5º,37,23,10,7,6,37,26,11,52600000,0,Abanca-Riazor,32490,La Coruña,1421621.6216216215,1.608695652173913
UD Almería,6º,36,23,10,6,7,41,33,8,45550000,0,UD Almería Stadium,18331,Almería,1265277.7777777778,1.7826086956521738
Real Sporting,7º,36,23,11,3,9,33,31,2,26400000,1,El Molinón,30000,Gijón,733333.3333333334,1.434782608695652
Córdoba CF,8º,35,23,9,8,6,29,26,3,16300000,0,Bahrain Victorious Nuevo Arcángel,21822,Córdoba,465714.28571428574,1.2608695652173914
Burgos CF,9º,35,23,10,5,8,26,23,3,20400000,0,El Plantío,12194,Burgos,582857.1428571428,1.1304347826086956
AD Ceuta FC,10º,35,23,10,5,8,28,30,-2,11950000,0,Alfonso Murube,6500,Ceuta,341428.5714285714,1.2173913043478262
Cádiz CF,11º,34,23,9,7,7,26,26,0,24800000,0,Nuevo Mirandilla,20724,Cádiz,729411.7647058824,1.1304347826086956
Albacete BP,12º,30,23,8,6,9,28,34,-6,13200000,0,Carlos Belmonte,18000,Albacete,440000.0,1.2173913043478262
CD Leganés,13º,29,23,7,8,8,25,23,2,23900000,1,Ontime Butarque,13089,Leganés,824137.9310344828,1.0869565217391304
FC Andorra,14º,29,23,7,8,8,26,31,-5,17250000,0,Nou Estadi d'Encamp,5600,Andorra la Vieja,594827.5862068966,1.1304347826086956
Real Valladolid,15º,28,23,7,7,9,24,24,0,30800000,0,José Zorrilla,27618,Valladolid,1100000.0,1.0434782608695652
SD Eibar,16º,28,23,7,7,9,24,26,-2,16850000,0,Ipurúa,8164,Éibar,601785.7142857143,1.0434782608695652
Granada CF,17º,26,23,5,11,7,25,28,-3,21900000,1,Nuevo Los Cármenes,19336,Granada,842307.6923076923,1.0869565217391304
Cultural Leonesa,18º,25,23,7,4,12,25,37,-12,11850000,0,Reino de León,13346,León,474000.0,1.0869565217391304
Real Sociedad B,19º,24,23,6,6,11,29,33,-4,10500000,2,Estadio Zubieta,2500,San Sebastián,437500.0,1.2608695652173914
SD Huesca,20º,24,23,6,6,11,21,32,-11,14550000,1,El Alcoraz,9128,Huesca,606250.0,0.9130434782608695
Real Zaragoza,21º,22,23,5,7,11,21,35,-14,20250000,0,Ibercaja Estadio,20103,Zaragoza,920454.5454545454,0.9130434782608695
CD Mirandés,22º,17,23,4,5,14,23,40,-17,17000000,0,Anduva,5759,Miranda de Ebro,1000000.0,1.0
