Equipo,Valor_Mercado,Lesionados,Estadio,Capacidad,Ciudad
FC Barcelona,1110000000,3,Spotify Camp Nou,99354,Barcelona
Atlético de Madrid,526000000,2,Riyadh Air Metropolitano,70460,Madrid
Athletic Club,303000000,9,San Mamés,53289,Bilbao
Villarreal CF,255800000,7,La Cerámica,23500,Villarreal
Real Sociedad,245200000,6,Estadio de Anoeta,39313,San Sebastián
Valencia CF,169500000,4,Mestalla,49430,Valencia
Girona FC,155000000,5,Municipal de Montilivi,14624,Gerona
Sevilla FC,131600000,6,Ramón Sánchez-Pizjuán,43883,Sevilla
Rayo Vallecano,108800000,5,Estadio de Vallecas,14708,Madrid
Elche CF,103200000,4,Martínez Valero,33732,Elche
RCD Espanyol,102700000,1,RCDE Stadium,40000,Cornellá de Llobregat
CA Osasuna,95500000,1,El Sadar,23576,Pamplona
Levante UD,86650000,4,Ciudad de Valencia,26354,Valencia
RCD Mallorca,81400000,4,Son Moix,23142,Palma de Mallorca
Getafe CF,81400000,5,Coliseum,16500,Getafe
Real Oviedo,67600000,3,Carlos Tartiere,30500,Oviedo
Deportivo Alavés,61000000,1,Mendizorroza,20320,Vitoria
Real Madrid,1350000000,4,Santiago Bernabéu,83088,Madrid
Real Betis,219800000,7,Estadio de La Cartuja,68887,Sevilla
Celta de Vigo,149400000,2,Abanca-Balaídos,24870,Vigo
